store,labels,addr,lng,lat,lnum,label2,label3
原宿春天购物广场A座,购物服务;商场;购物中心,中央大街222号,126.618467,45.778418,1,商场,购物中心
美乐商城(石头道街店),购物服务;商场;普通商场,石头道街57号(近金太阳),126.62808999999999,45.771999,1,商场,普通商场
松雷国际(装修中),购物服务;商场;普通商场,中央大街与霞曼街交叉口西50米,126.619548,45.77042,1,商场,普通商场
金安国际购物广场(2号门),购物服务;商场;购物中心,中央大街73号金安国际购物广场,126.619599,45.771912,1,商场,购物中心
Duty Jiee Shop免税商场,购物服务;商场;普通商场,中医街与中央大街交叉口东北50米,126.618624,45.775587,1,商场,普通商场
人和索菲春天购物广场(华联商厦店),购物服务;商场;普通商场,地段街128-8号,126.627058,45.771382,1,商场,普通商场
悦荟,购物服务;商场;普通商场,斯大林街与步行街交叉口西150米,126.615974,45.779793,1,商场,普通商场
汇丽广场,购物服务;商场;购物中心,安隆街与上海街交汇处,126.60641399999999,45.760628999999994,1,商场,购物中心
人和新春天(石头道街),购物服务;商场;普通商场,中央大街与霞曼街交叉口东150米,126.621402,45.770973,1,商场,普通商场
凯德商用,购物服务;商场;普通商场,埃德蒙顿路46-3号附近,126.592823,45.734542,1,商场,普通商场
哈尔滨悦荟A座,购物服务;商场;购物中心,中央大街240附近,126.616394,45.779638,1,商场,购物中心
温馨四季名店广场,购物服务;商场;普通商场,经纬二道街6号附近,126.62225500000001,45.766659000000004,1,商场,普通商场
王府井·泛乐城,购物服务;商场;购物中心,田地街67号,126.62974399999999,45.768722,1,商场,购物中心
CENTRAL DEPARTMENT STORE,购物服务;商场;普通商场,西十一道街40号附近,126.62143700000001,45.771157,1,商场,普通商场
振龙商厦,购物服务;商场;普通商场,买卖街99-1号,126.63126000000001,45.771324,1,商场,普通商场
人和春天购物广场(石头道街店),购物服务;商场;普通商场,地段街与石头道街交叉口东北50米,126.628207,45.771894,1,商场,普通商场
巴拉斯商场,购物服务;商场;普通商场,西七道街55号,126.619417,45.773645,1,商场,普通商场
卓展,购物服务;商场;普通商场,上海街99号附近,126.605126,45.759372,1,商场,普通商场
远大购物中心B3栋,购物服务;商场;普通商场,群力第四大道1549附近,126.55534499999999,45.737277,1,商场,普通商场
银泰城·悦街,购物服务;商场;普通商场,丽江路附近,126.539796,45.740806,1,商场,普通商场
康氏购物,购物服务;商场;普通商场,群力街道群力第六大道3700号,126.520641,45.720817,1,商场,普通商场
曼哈顿,购物服务;商场;普通商场,尚志大街73号麦凯乐四楼,126.62705,45.769537,1,商场,普通商场
