store,labels,addr,lng,lat,lnum,label2,label3
CENTRAL DEPARTMENT STORE,购物服务;商场;普通商场,西十一道街40号附近,126.62143700000001,45.771157,1,商场,普通商场
宝德发北京布鞋,购物服务;服装鞋帽皮具店;品牌鞋店,哈药路150号,126.60526000000002,45.751021,1,服装鞋帽皮具店,品牌鞋店
欧蒂爱袜业,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,一面街28号新华广场a栋,126.63146599999999,45.771712,1,服装鞋帽皮具店,服装鞋帽皮具店
曼妮芬(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F3层,126.61698200000001,45.778995,1,服装鞋帽皮具店,品牌服装店
金利来(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F3层,126.616552,45.778889,1,服装鞋帽皮具店,品牌服装店
江南布衣(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.61643899999999,45.77903,1,服装鞋帽皮具店,品牌服装店
Mind Bridge(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.61651499999999,45.778717,1,服装鞋帽皮具店,品牌服装店
振龙商厦,购物服务;商场;普通商场,买卖街99-1号,126.63126000000001,45.771324,1,商场,普通商场
Five Plus(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.61688500000001,45.778692,1,服装鞋帽皮具店,品牌服装店
古今(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F3层,126.616909,45.778842,1,服装鞋帽皮具店,品牌服装店
BADINA(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F3层,126.617153,45.778994,1,服装鞋帽皮具店,品牌服装店
梵泰迪丝,购物服务;服装鞋帽皮具店;品牌服装店,石头道街32号附近,126.629457,45.771508000000004,1,服装鞋帽皮具店,品牌服装店
世纪名店(大安街),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,大安街35-37号,126.617502,45.77115,1,服装鞋帽皮具店,服装鞋帽皮具店
VERO MODA(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.61704499999999,45.779192,1,服装鞋帽皮具店,品牌服装店
安踏(凯德广场),购物服务;体育用品店;体育用品店,埃德蒙顿路38号TL黑龙江哈尔滨凯德广场埃德蒙顿店B1层,126.593965,45.735082,1,体育用品店,体育用品店
SEMIR,购物服务;服装鞋帽皮具店;品牌服装店,中央大街92号,126.619428,45.771188,1,服装鞋帽皮具店,品牌服装店
PIGGY(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f3层301a,126.61974099999999,45.77196,1,服装鞋帽皮具店,品牌服装店
LEE(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场F2层241,126.620551,45.771628,1,服装鞋帽皮具店,品牌服装店
金雪儿泳装,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,石头道街透笼轻工批发市场1楼1A1-11号,126.629391,45.772166,1,服装鞋帽皮具店,服装鞋帽皮具店
太平鸟(金安国际购物广场),购物服务;服装鞋帽皮具店;品牌服装店,中央大街69号金安国际购物广场f2层210、f211,126.620521,45.772043,1,服装鞋帽皮具店,品牌服装店
富妮来(买卖街店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,买卖街69-1号2层,126.63154499999999,45.769405,1,服装鞋帽皮具店,服装鞋帽皮具店
sefon(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F3层,126.61714199999999,45.779140999999996,1,服装鞋帽皮具店,品牌服装店
意大莱(顾乡大街),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,顾乡大街132-1号,126.58801100000001,45.737162,1,服装鞋帽皮具店,服装鞋帽皮具店
佐雅(华燕奥特莱斯店),购物服务;服装鞋帽皮具店;品牌服装店,地段街95号华燕奥特莱斯购物中心f5层,126.62951799999999,45.770463,1,服装鞋帽皮具店,品牌服装店
VANS(金安国际店),购物服务;体育用品店;体育用品店,中央大街69号金安国际购物广场2层,126.62035800000001,45.77194,1,体育用品店,体育用品店
永和鞋城(新企路),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,机场路599-10号,126.48589299999999,45.668719,1,服装鞋帽皮具店,服装鞋帽皮具店
SELECTED(哈尔滨群力远大店),购物服务;服装鞋帽皮具店;品牌服装店,群力大道1176号群力远大购物中心5楼,126.556694,45.738159,1,服装鞋帽皮具店,品牌服装店
玥琪琳,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,买卖街69-1号,126.63154499999999,45.769405,1,服装鞋帽皮具店,服装鞋帽皮具店
a02(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.616808,45.778799,1,服装鞋帽皮具店,品牌服装店
芬狄诗(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.61648899999999,45.77876,1,服装鞋帽皮具店,品牌服装店
名典屋(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F3层,126.616804,45.778813,1,服装鞋帽皮具店,品牌服装店
DKNY(百盛购物中心),购物服务;服装鞋帽皮具店;品牌服装店,中央大街222号百盛购物中心F2层,126.61676499999999,45.778938000000004,1,服装鞋帽皮具店,品牌服装店
